,actual_x,predicted_x,date,team_x,opponent_x,result_x,new_team_x,actual_y,predicted_y,team_y,opponent_y,result_y,new_team_y
0,0,0,2022-02-11,100 Thieves,C9,L,100T,1,1,Cloud9,100T,W,C9
1,0,0,2022-02-20,100 Thieves,TGRD,L,100T,1,0,The Guard,100T,W,TGRD
2,1,1,2022-02-24,100 Thieves,TSM.A,W,100T,1,1,TSM,100T,W,TSM
3,1,1,2022-02-24,100 Thieves,ABX,W,100T,1,1,TSM,100T,W,TSM
4,0,1,2022-02-24,100 Thieves,TSM,L,100T,1,1,TSM,100T,W,TSM
5,0,0,2022-02-27,100 Thieves,LG,L,100T,1,0,Luminosity Gaming,100T,W,LG
6,0,0,2022-03-06,100 Thieves,XSET,L,100T,1,0,XSET,100T,W,XSET
7,1,0,2022-03-12,100 Thieves,EG,W,100T,0,0,Evil Geniuses,100T,L,EG
8,0,0,2022-04-29,100 Thieves,TSM,L,100T,1,0,TSM,100T,W,TSM
9,1,0,2022-04-30,100 Thieves,Gen.G,W,100T,0,0,Evil Geniuses,100T,L,EG
10,1,1,2022-04-30,100 Thieves,EG,W,100T,0,0,Evil Geniuses,100T,L,EG
11,1,1,2022-05-01,100 Thieves,PK,W,100T,1,0,TSM,100T,W,TSM
12,0,1,2022-05-01,100 Thieves,TSM,L,100T,1,0,TSM,100T,W,TSM
13,1,1,2022-05-13,100 Thieves,TGRD,W,100T,0,0,The Guard,100T,L,TGRD
14,0,1,2022-05-21,100 Thieves,TSM,L,100T,1,0,TSM,100T,W,TSM
15,1,1,2022-05-28,100 Thieves,XSET,W,100T,0,1,XSET,100T,L,XSET
16,1,1,2022-06-05,100 Thieves,NRG,W,100T,0,0,NRG,100T,L,NRG
17,1,1,2022-02-11,Cloud9,100T,W,C9,0,0,100 Thieves,C9,L,100T
18,1,1,2022-02-19,Cloud9,XSET,W,C9,0,0,XSET,C9,L,XSET
19,1,1,2022-02-25,Cloud9,EG,W,C9,0,0,Evil Geniuses,C9,L,EG
20,1,1,2022-03-05,Cloud9,LG,W,C9,0,0,Luminosity Gaming,C9,L,LG
21,1,1,2022-03-11,Cloud9,TGRD,W,C9,0,0,The Guard,C9,L,TGRD
22,0,1,2022-03-19,Cloud9,OPTC,L,C9,1,1,OpTic Gaming,C9,W,OPTC
23,1,1,2022-03-25,Cloud9,XSET,W,C9,0,1,XSET,C9,L,XSET
24,0,0,2022-03-26,Cloud9,TGRD,L,C9,1,0,The Guard,C9,W,TGRD
25,1,0,2022-05-15,Cloud9,EG,W,C9,0,1,Evil Geniuses,C9,L,EG
26,0,0,2022-05-22,Cloud9,OPTC,L,C9,1,1,OpTic Gaming,C9,W,OPTC
27,0,0,2022-05-29,Cloud9,FaZe,L,C9,1,0,FaZe Clan,C9,W,FaZe
28,0,0,2022-06-05,Cloud9,LG,L,C9,1,1,Luminosity Gaming,C9,W,LG
29,0,0,2022-02-13,Evil Geniuses,XSET,L,EG,1,1,XSET,EG,W,XSET
30,0,0,2022-02-18,Evil Geniuses,LG,L,EG,1,0,Luminosity Gaming,EG,W,LG
31,0,0,2022-02-25,Evil Geniuses,C9,L,EG,1,1,Cloud9,EG,W,C9
32,0,0,2022-03-04,Evil Geniuses,TGRD,L,EG,1,1,The Guard,EG,W,TGRD
33,0,0,2022-03-12,Evil Geniuses,100T,L,EG,1,0,100 Thieves,EG,W,100T
34,0,0,2022-03-14,Evil Geniuses,FaZe,L,EG,1,1,FaZe Clan,EG,W,FaZe
35,0,0,2022-04-30,Evil Geniuses,V1,L,EG,1,1,100 Thieves,EG,W,100T
36,0,0,2022-04-30,Evil Geniuses,100T,L,EG,1,1,100 Thieves,EG,W,100T
37,1,0,2022-05-06,Evil Geniuses,GHST,W,EG,0,1,Ghost Gaming,EG,L,Ghost
38,0,1,2022-05-15,Evil Geniuses,C9,L,EG,1,0,Cloud9,EG,W,C9
39,1,1,2022-05-21,Evil Geniuses,SEN,W,EG,0,0,Sentinels,EG,L,SEN
40,1,1,2022-05-27,Evil Geniuses,LG,W,EG,0,1,Luminosity Gaming,EG,L,LG
41,1,1,2022-06-03,Evil Geniuses,OPTC,W,EG,0,1,OpTic Gaming,EG,L,OPTC
42,1,1,2022-02-22,FaZe Clan,RID,W,FaZe,1,1,TSM,FaZe,W,TSM
43,0,1,2022-02-22,FaZe Clan,TSM,L,FaZe,1,1,TSM,FaZe,W,TSM
44,1,1,2022-03-14,FaZe Clan,EG,W,FaZe,0,0,Evil Geniuses,FaZe,L,EG
45,1,1,2022-04-21,FaZe Clan,SQ,W,FaZe,1,1,TSM,FaZe,W,TSM
46,0,0,2022-04-21,FaZe Clan,TSM,L,FaZe,1,1,TSM,FaZe,W,TSM
47,1,0,2022-04-30,FaZe Clan,SEN,W,FaZe,0,0,Sentinels,FaZe,L,SEN
48,1,0,2022-04-30,FaZe Clan,SEN,W,FaZe,0,1,TSM,FaZe,L,TSM
49,1,1,2022-04-30,FaZe Clan,TSM,W,FaZe,0,0,Sentinels,FaZe,L,SEN
50,1,1,2022-04-30,FaZe Clan,TSM,W,FaZe,0,1,TSM,FaZe,L,TSM
51,0,0,2022-05-14,FaZe Clan,OPTC,L,FaZe,1,1,OpTic Gaming,FaZe,W,OPTC
52,0,0,2022-05-20,FaZe Clan,LG,L,FaZe,1,1,Luminosity Gaming,FaZe,W,LG
53,1,0,2022-05-29,FaZe Clan,C9,W,FaZe,0,0,Cloud9,FaZe,L,C9
54,1,1,2022-06-04,FaZe Clan,SEN,W,FaZe,0,0,Sentinels,FaZe,L,SEN
55,0,0,2022-02-12,Luminosity Gaming,TGRD,L,LG,1,1,The Guard,LG,W,TGRD
56,1,0,2022-02-18,Luminosity Gaming,EG,W,LG,0,0,Evil Geniuses,LG,L,EG
57,1,0,2022-02-27,Luminosity Gaming,100T,W,LG,0,0,100 Thieves,LG,L,100T
58,0,0,2022-03-05,Luminosity Gaming,C9,L,LG,1,1,Cloud9,LG,W,C9
59,0,0,2022-03-12,Luminosity Gaming,XSET,L,LG,1,1,XSET,LG,W,XSET
60,0,0,2022-03-19,Luminosity Gaming,TGRD,L,LG,1,0,The Guard,LG,W,TGRD
61,0,0,2022-03-24,Luminosity Gaming,XSET,L,LG,1,1,XSET,LG,W,XSET
62,0,0,2022-04-30,Luminosity Gaming,TSM,L,LG,1,0,TSM,LG,W,TSM
63,1,1,2022-04-30,Luminosity Gaming,BBG.A,W,LG,1,0,TSM,LG,W,TSM
64,1,0,2022-05-01,Luminosity Gaming,SEN,W,LG,0,0,Sentinels,LG,L,SEN
65,1,1,2022-05-01,Luminosity Gaming,V1,W,LG,0,0,Sentinels,LG,L,SEN
66,1,1,2022-05-13,Luminosity Gaming,SEN,W,LG,0,1,Sentinels,LG,L,SEN
67,1,1,2022-05-20,Luminosity Gaming,FaZe,W,LG,0,0,FaZe Clan,LG,L,FaZe
68,0,1,2022-05-27,Luminosity Gaming,EG,L,LG,1,1,Evil Geniuses,LG,W,EG
69,1,1,2022-06-05,Luminosity Gaming,C9,W,LG,0,0,Cloud9,LG,L,C9
70,0,0,2022-02-12,NRG,SEN,L,NRG,1,0,Sentinels,NRG,W,SEN
71,1,1,2022-05-15,NRG,TSM,W,NRG,0,0,TSM,NRG,L,TSM
72,0,1,2022-05-22,NRG,XSET,L,NRG,1,1,XSET,NRG,W,XSET
73,0,0,2022-05-29,NRG,GHST,L,NRG,1,1,Ghost Gaming,NRG,W,Ghost
74,0,0,2022-06-05,NRG,100T,L,NRG,1,1,100 Thieves,NRG,W,100T
75,1,1,2022-02-26,OpTic Gaming,SEN,W,OPTC,0,1,Sentinels,OPTC,L,SEN
76,1,1,2022-03-17,OpTic Gaming,XSET,W,OPTC,0,1,XSET,OPTC,L,XSET
77,1,1,2022-03-19,OpTic Gaming,C9,W,OPTC,0,1,Cloud9,OPTC,L,C9
78,1,1,2022-03-25,OpTic Gaming,TGRD,W,OPTC,0,1,The Guard,OPTC,L,TGRD
79,0,0,2022-03-27,OpTic Gaming,TGRD,L,OPTC,1,0,The Guard,OPTC,W,TGRD
80,1,1,2022-04-15,OpTic Gaming,TGRD,W,OPTC,0,1,The Guard,OPTC,L,TGRD
81,1,1,2022-05-14,OpTic Gaming,FaZe,W,OPTC,0,0,FaZe Clan,OPTC,L,FaZe
82,1,1,2022-05-22,OpTic Gaming,C9,W,OPTC,0,0,Cloud9,OPTC,L,C9
83,1,1,2022-05-28,OpTic Gaming,SEN,W,OPTC,0,0,Sentinels,OPTC,L,SEN
84,0,1,2022-06-03,OpTic Gaming,EG,L,OPTC,1,1,Evil Geniuses,OPTC,W,EG
85,1,0,2022-02-12,Sentinels,NRG,W,SEN,0,0,NRG,SEN,L,NRG
86,0,1,2022-02-26,Sentinels,OPTC,L,SEN,1,1,OpTic Gaming,SEN,W,OPTC
87,0,0,2022-03-18,Sentinels,TGRD,L,SEN,1,1,The Guard,SEN,W,TGRD
88,0,0,2022-04-30,Sentinels,FaZe,L,SEN,1,0,FaZe Clan,SEN,W,FaZe
89,1,1,2022-04-30,Sentinels,NYFU,W,SEN,1,0,FaZe Clan,SEN,W,FaZe
90,0,0,2022-05-01,Sentinels,LG,L,SEN,1,0,Luminosity Gaming,SEN,W,LG
91,0,1,2022-05-13,Sentinels,LG,L,SEN,1,1,Luminosity Gaming,SEN,W,LG
92,0,0,2022-05-21,Sentinels,EG,L,SEN,1,1,Evil Geniuses,SEN,W,EG
93,0,0,2022-05-28,Sentinels,OPTC,L,SEN,1,1,OpTic Gaming,SEN,W,OPTC
94,0,0,2022-06-04,Sentinels,FaZe,L,SEN,1,1,FaZe Clan,SEN,W,FaZe
95,1,1,2022-02-22,TSM,T1,W,TSM,0,1,FaZe Clan,TSM,L,FaZe
96,1,1,2022-02-22,TSM,FaZe,W,TSM,0,1,FaZe Clan,TSM,L,FaZe
97,1,1,2022-02-22,TSM,BB,W,TSM,0,1,FaZe Clan,TSM,L,FaZe
98,1,1,2022-02-24,TSM,100T,W,TSM,0,1,100 Thieves,TSM,L,100T
99,1,1,2022-02-24,TSM,Basilisk,W,TSM,0,1,100 Thieves,TSM,L,100T
100,1,1,2022-02-24,TSM,RNG,W,TSM,0,1,100 Thieves,TSM,L,100T
101,1,1,2022-04-21,TSM,TSM.A,W,TSM,0,0,FaZe Clan,TSM,L,FaZe
102,1,1,2022-04-21,TSM,TSM.A,W,TSM,1,1,Ghost Gaming,TSM,W,Ghost
103,1,1,2022-04-21,TSM,FaZe,W,TSM,0,0,FaZe Clan,TSM,L,FaZe
104,1,1,2022-04-21,TSM,FaZe,W,TSM,1,1,Ghost Gaming,TSM,W,Ghost
105,0,1,2022-04-21,TSM,GHST,L,TSM,0,0,FaZe Clan,TSM,L,FaZe
106,0,1,2022-04-21,TSM,GHST,L,TSM,1,1,Ghost Gaming,TSM,W,Ghost
107,1,0,2022-04-29,TSM,100T,W,TSM,0,0,100 Thieves,TSM,L,100T
108,1,0,2022-04-30,TSM,LG,W,TSM,1,1,FaZe Clan,TSM,W,FaZe
109,1,0,2022-04-30,TSM,LG,W,TSM,0,0,Luminosity Gaming,TSM,L,LG
110,0,1,2022-04-30,TSM,FaZe,L,TSM,1,1,FaZe Clan,TSM,W,FaZe
111,0,1,2022-04-30,TSM,FaZe,L,TSM,0,0,Luminosity Gaming,TSM,L,LG
112,1,0,2022-05-01,TSM,100T,W,TSM,0,1,100 Thieves,TSM,L,100T
113,0,0,2022-05-15,TSM,NRG,L,TSM,1,1,NRG,TSM,W,NRG
114,1,0,2022-05-21,TSM,100T,W,TSM,0,1,100 Thieves,TSM,L,100T
115,0,0,2022-05-27,TSM,TGRD,L,TSM,1,0,The Guard,TSM,W,TGRD
116,0,0,2022-06-04,TSM,GHST,L,TSM,1,1,Ghost Gaming,TSM,W,Ghost
117,1,1,2022-02-12,The Guard,LG,W,TGRD,0,0,Luminosity Gaming,TGRD,L,LG
118,1,0,2022-02-20,The Guard,100T,W,TGRD,0,0,100 Thieves,TGRD,L,100T
119,1,1,2022-02-26,The Guard,XSET,W,TGRD,0,0,XSET,TGRD,L,XSET
120,1,1,2022-03-04,The Guard,EG,W,TGRD,0,0,Evil Geniuses,TGRD,L,EG
121,0,0,2022-03-11,The Guard,C9,L,TGRD,1,1,Cloud9,TGRD,W,C9
122,1,1,2022-03-18,The Guard,SEN,W,TGRD,0,0,Sentinels,TGRD,L,SEN
123,1,0,2022-03-19,The Guard,LG,W,TGRD,0,0,Luminosity Gaming,TGRD,L,LG
124,0,1,2022-03-25,The Guard,OPTC,L,TGRD,1,1,OpTic Gaming,TGRD,W,OPTC
125,1,0,2022-03-26,The Guard,C9,W,TGRD,0,0,Cloud9,TGRD,L,C9
126,1,0,2022-03-27,The Guard,OPTC,W,TGRD,0,0,OpTic Gaming,TGRD,L,OPTC
127,0,1,2022-04-15,The Guard,OPTC,L,TGRD,1,1,OpTic Gaming,TGRD,W,OPTC
128,0,0,2022-05-13,The Guard,100T,L,TGRD,1,1,100 Thieves,TGRD,W,100T
129,0,0,2022-05-20,The Guard,GHST,L,TGRD,1,1,Ghost Gaming,TGRD,W,Ghost
130,1,0,2022-05-27,The Guard,TSM,W,TGRD,0,0,TSM,TGRD,L,TSM
131,0,1,2022-06-03,The Guard,XSET,L,TGRD,1,0,XSET,TGRD,W,XSET
132,1,1,2022-02-13,XSET,EG,W,XSET,0,0,Evil Geniuses,XSET,L,EG
133,0,0,2022-02-19,XSET,C9,L,XSET,1,1,Cloud9,XSET,W,C9
134,0,0,2022-02-26,XSET,TGRD,L,XSET,1,1,The Guard,XSET,W,TGRD
135,1,0,2022-03-06,XSET,100T,W,XSET,0,0,100 Thieves,XSET,L,100T
136,1,1,2022-03-12,XSET,LG,W,XSET,0,0,Luminosity Gaming,XSET,L,LG
137,0,1,2022-03-17,XSET,OPTC,L,XSET,1,1,OpTic Gaming,XSET,W,OPTC
138,1,1,2022-03-24,XSET,LG,W,XSET,0,0,Luminosity Gaming,XSET,L,LG
139,0,1,2022-03-25,XSET,C9,L,XSET,1,1,Cloud9,XSET,W,C9
140,1,1,2022-05-14,XSET,GHST,W,XSET,0,1,Ghost Gaming,XSET,L,Ghost
141,1,1,2022-05-22,XSET,NRG,W,XSET,0,1,NRG,XSET,L,NRG
142,0,1,2022-05-28,XSET,100T,L,XSET,1,1,100 Thieves,XSET,W,100T
143,1,0,2022-06-03,XSET,TGRD,W,XSET,0,1,The Guard,XSET,L,TGRD
